"시도명",시군구명,어린이집코드,어린이집명,어린이집유형구분,운영현황,우편번호,상세주소,어린이집전화번호,어린이집팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,제공서비스,데이터기준일자
"경기도",포천시,40600000127,꼬꼬마어린이집,가정,Y,11173,"경기도 포천시 소흘읍 태봉로 227, 212동 103호(송천마을주공2단지)",031-544-0949,031-544-0942,,3,57,1,3,6,12,12,37.83369125,127.147299,운영,2006-07-04,2011-04-26,2012-04-25,,일반,2019-09-17
"경기도",포천시,40600000087,꿈과사랑으로쑥쑥크는어린이집,가정,Y,11172,"경기도 포천시 소흘읍 태봉로 153, 310동 105호(태봉마을주공3단지아파트)",031-543-7933,031-543-7933,,3,44,0,3,0,12,0,37.83083935,127.1394691,운영,2015-10-20,2019-06-26,2020-06-25,,시간연장형,2019-09-17
"경기도",포천시,40600000096,꿈동이어린이집,가정,Y,11172,"경기도 포천시 소흘읍 태봉로 153, 309동 104호(태봉마을주공3단지아파트)",031-544-8007,031-541-9101,,3,59,0,3,6,19,13,37.83083935,127.1394691,운영,2005-06-27,,,,시간연장형,2019-09-17
"경기도",포천시,40600000142,꿈땅어린이집,가정,Y,11172,"경기도 포천시 소흘읍 태봉로 153, 307동 101호(태봉마을주공3단지아파트)",031-544-2501,031-544-2599,http://cafe.naver.com/kkumddang307,3,59,0,3,7,19,18,37.83083935,127.1394691,운영,2007-03-06,,,,시간연장형,2019-09-17
"경기도",포천시,40600000097,노블랜드어린이집,가정,Y,11173,"경기도 포천시 소흘읍 태봉로 239, 102동103호(석향마을대방노블랜드아파트)",031-544-2654,031-544-2655,,3,58,0,3,6,19,18,37.83304363,127.1493106,운영,2006-04-12,,,,시간연장형,2019-09-17
"경기도",포천시,40600000215,늘푸른어린이집,가정,Y,11162,"경기도 포천시 선마로 22, 102동 105호 (선단동, 세창선단마을아파트)",031-542-6918,031-542-6918,,3,58,0,3,5,19,13,37.8512571,127.168029,운영,2012-03-21,,,,시간연장형,2019-09-17
"경기도",포천시,40600000105,도담도담어린이집,가정,Y,11172,"경기도 포천시 소흘읍 태봉로 153, 309동 101호(태봉마을주공3단지아파트)",031-542-4360,031-542-4360,,3,59,0,3,6,19,17,37.83083935,127.1394691,운영,2005-09-16,,,,시간연장형,2019-09-17
"경기도",포천시,40600000143,리틀킹어린이집,가정,Y,11172,"경기도 포천시 소흘읍 태봉로 153, 317동 101호(태봉마을주공3단지아파트)",031-544-2143,031-544-2143,,3,37,0,3,5,13,11,37.83083935,127.1394691,운영,2007-03-02,,,,시간연장형,2019-09-17
"경기도",포천시,40600000075,베베꿈어린이집,가정,Y,11173,"경기도 포천시 소흘읍 태봉로 227, 216동 103호(송천마을주공2단지)",031-543-3442,031-543-3442,,3,61,0,3,3,19,8,37.83369125,127.147299,운영,2001-02-26,,,,시간연장형,2019-09-17
"경기도",포천시,40600000123,사랑나무어린이집,가정,Y,11154,"경기도 포천시 군내면 호국로 1536-10, 104동 101호 (포천아이파크)",070-4107-8780,050-204-9774,jkh740206@naver.com,4,54,0,4,4,17,14,37.89049104,127.2028308,운영,2006-02-21,,,,시간연장형,2019-09-17
